emojiDescription,streamApiEncodings,restApiEncodings
AERIAL TRAMWAY,<ed><a0><bd><ed><ba><a1>,<f0><9f><9a><a1>
AIRPLANE,<e2><9c><88>,<e2><9c><88>
ALARM CLOCK,<e2><8f><b0>,<e2><8f><b0>
ALIEN MONSTER,<ed><a0><bd><ed><b1><be>,<f0><9f><91><be>
AMBULANCE,<ed><a0><bd><ed><ba><91>,<f0><9f><9a><91>
AMERICAN FOOTBALL,<ed><a0><bc><ed><bf><88>,<f0><9f><8f><88>
ANCHOR,<e2><9a><93>,<e2><9a><93>
ANGER SYMBOL,<ed><a0><bd><ed><b2><a2>,<f0><9f><92><a2>
ANGRY FACE,<ed><a0><bd><ed><b8><a0>,<f0><9f><98><a0>
ANGUISHED FACE,<ed><a0><bd><ed><b8><a7>,<f0><9f><98><a7>
ANT,<ed><a0><bd><ed><b0><9c>,<f0><9f><90><9c>
ANTENNA WITH BARS,<ed><a0><bd><ed><b3><b6>,<f0><9f><93><b6>
ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,<ed><a0><bd><ed><b4><84>,<f0><9f><94><84>
AQUARIUS,<e2><99><92>,<e2><99><92>
ARIES,<e2><99><88>,<e2><99><88>
ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,<e2><a4><b5>,<e2><a4><b5>
ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,<e2><a4><b4>,<e2><a4><b4>
ARTICULATED LORRY,<ed><a0><bd><ed><ba><9b>,<f0><9f><9a><9b>
ARTIST PALETTE,<ed><a0><bc><ed><be><a8>,<f0><9f><8e><a8>
ASTONISHED FACE,<ed><a0><bd><ed><b8><b2>,<f0><9f><98><b2>
ATHLETIC SHOE,<ed><a0><bd><ed><b1><9f>,<f0><9f><91><9f>
AUBERGINE,<ed><a0><bc><ed><bd><86>,<f0><9f><8d><86>
AUTOMATED TELLER MACHINE,<ed><a0><bc><ed><bf><a7>,<f0><9f><8f><a7>
AUTOMOBILE,<ed><a0><bd><ed><ba><97>,<f0><9f><9a><97>
BABY,<ed><a0><bd><ed><b1><b6>,<f0><9f><91><b6>
BABY ANGEL,<ed><a0><bd><ed><b1><bc>,<f0><9f><91><bc>
BABY BOTTLE,<ed><a0><bc><ed><bd><bc>,<f0><9f><8d><bc>
BABY CHICK,<ed><a0><bd><ed><b0><a4>,<f0><9f><90><a4>
BABY SYMBOL,<ed><a0><bd><ed><ba><bc>,<f0><9f><9a><bc>
BACK WITH LEFTWARDS ARROW ABOVE,<ed><a0><bd><ed><b4><99>,<f0><9f><94><99>
BACTRIAN CAMEL,<ed><a0><bd><ed><b0><ab>,<f0><9f><90><ab>
BAGGAGE CLAIM,<ed><a0><bd><ed><bb><84>,<f0><9f><9b><84>
BALLOON,<ed><a0><bc><ed><be><88>,<f0><9f><8e><88>
BALLOT BOX WITH CHECK,<e2><98><91>,<e2><98><91>
BANANA,<ed><a0><bc><ed><bd><8c>,<f0><9f><8d><8c>
BANK,<ed><a0><bc><ed><bf><a6>,<f0><9f><8f><a6>
BANKNOTE WITH DOLLAR SIGN,<ed><a0><bd><ed><b2><b5>,<f0><9f><92><b5>
BANKNOTE WITH EURO SIGN,<ed><a0><bd><ed><b2><b6>,<f0><9f><92><b6>
BANKNOTE WITH POUND SIGN,<ed><a0><bd><ed><b2><b7>,<f0><9f><92><b7>
BANKNOTE WITH YEN SIGN,<ed><a0><bd><ed><b2><b4>,<f0><9f><92><b4>
BAR CHART,<ed><a0><bd><ed><b3><8a>,<f0><9f><93><8a>
BARBER POLE,<ed><a0><bd><ed><b2><88>,<f0><9f><92><88>
BASEBALL,<e2><9a><be>,<e2><9a><be>
BASKETBALL AND HOOP,<ed><a0><bc><ed><bf><80>,<f0><9f><8f><80>
BATH,<ed><a0><bd><ed><bb><80>,<f0><9f><9b><80>
BATHTUB,<ed><a0><bd><ed><bb><81>,<f0><9f><9b><81>
BATTERY,<ed><a0><bd><ed><b4><8b>,<f0><9f><94><8b>
BEAR FACE,<ed><a0><bd><ed><b0><bb>,<f0><9f><90><bb>
BEATING HEART,<ed><a0><bd><ed><b2><93>,<f0><9f><92><93>
BEER MUG,<ed><a0><bc><ed><bd><ba>,<f0><9f><8d><ba>
BELL,<ed><a0><bd><ed><b4><94>,<f0><9f><94><94>
BELL WITH CANCELLATION STROKE,<ed><a0><bd><ed><b4><95>,<f0><9f><94><95>
BENTO BOX,<ed><a0><bc><ed><bd><b1>,<f0><9f><8d><b1>
BICYCLE,<ed><a0><bd><ed><ba><b2>,<f0><9f><9a><b2>
BICYCLIST,<ed><a0><bd><ed><ba><b4>,<f0><9f><9a><b4>
BIKINI,<ed><a0><bd><ed><b1><99>,<f0><9f><91><99>
BILLIARDS,<ed><a0><bc><ed><be><b1>,<f0><9f><8e><b1>
BIRD,<ed><a0><bd><ed><b0><a6>,<f0><9f><90><a6>
BIRTHDAY CAKE,<ed><a0><bc><ed><be><82>,<f0><9f><8e><82>
BLACK CLUB SUIT,<e2><99><a3>,<e2><99><a3>
BLACK DIAMOND SUIT,<e2><99><a6>,<e2><99><a6>
BLACK DOWN-POINTING DOUBLE TRIANGLE,<e2><8f><ac>,<e2><8f><ac>
BLACK HEART SUIT,<e2><99><a5>,<e2><99><a5>
BLACK LARGE SQUARE,<e2><ac><9b>,<e2><ac><9b>
BLACK LEFT-POINTING DOUBLE TRIANGLE,<e2><8f><aa>,<e2><8f><aa>
BLACK LEFT-POINTING TRIANGLE,<e2><97><80>,<e2><97><80>
BLACK MEDIUM SMALL SQUARE,<e2><97><be>,<e2><97><be>
BLACK MEDIUM SQUARE,<e2><97><bc>,<e2><97><bc>
BLACK NIB,<e2><9c><92>,<e2><9c><92>
BLACK QUESTION MARK ORNAMENT,<e2><9d><93>,<e2><9d><93>
BLACK RIGHT-POINTING DOUBLE TRIANGLE,<e2><8f><a9>,<e2><8f><a9>
BLACK RIGHT-POINTING TRIANGLE,<e2><96><b6>,<e2><96><b6>
